Study_ID,Article_DOI,Firstauthor_Year,Journal_Title,Publication_Year,Study_Country,Lat_Long,Study_Design,Study_Species,Movement_category,Response_measured,Response_description,Subgroup_description,B_data_collection_season,A_data_collection_season,C_data_collection_season,I_data_collection_season,Tracking_method,Minimum_tracking_period (days),Mean_tracking_period (days),Mean_fixes,Minimum_fixes,Impact_fire_type,Impact_fire_season,Impact_fire_characteristics,Impact_fire_size_ha,Maximum_treatment_burn_age_days,Data_source,Mean_Fire,Upper_Fire,Lower_Fire,Mean_Unburned,Upper_Unburned,Lower_Unburned,CI_Type,Comments
48,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,"26.20000000, - 81.16666667",CI,Odocoileus virginianus,Linear Distance,Movement rate,Movement rate meters/hour,Males,NA,NA,Summer,Summer,GPS,30,30,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,14200,30,"Sample size Table 1 pg. 165, movement rates Figure 4",95.31,102.21,88.41,72,77.52,66.48,SE,Data extracted from figure 4 using Webplot digitizer.
49,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,"26.20000000, - 81.16666667",BACI,Odocoileus virginianus,Linear distance - Speed,Movement rate,Movement rate meters/hour,Females,Spring,Spring,NA,NA,GPS,30,30,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,14200,30,"Sample size Table 1 pg. 165, movement rates Figure 4",1.332,2.484,0.18,1.129,2.265,-0.007,SE,Data extracted from figure 4 using Webplot digitizer.
50,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,"26.20000000, - 81.16666667",CI,Odocoileus virginianus,Linear Distance,Movement rate,Movement rate meters/hour,Females,NA,NA,Spring/Summer,Spring/Summer,GPS,30,30,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,14200,30,"Sample size Table 1 pg. 165, movement rates Figure 4",79.85,86.82,72.88,49.86,53.11,46.61,SE,Data extracted from figure 4 using Webplot digitizer.
51,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,"26.20000000, - 81.16666667",CI,Odocoileus virginianus,Linear Distance,Movement rate,Movement rate meters/hour,Females,NA,NA,Summer,Summer,GPS,30,30,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,14200,30,"Sample size Table 1 pg. 165, movement rates Figure 4",74.21,81.47,66.95,50.33,54.15,46.51,SE,Data extracted from figure 4 using Webplot digitizer.
52,10.4404/hystrix–11447,Gwinn2016,Hystrix,2016,United States of America,"32.70191213931741, - 109.86789044959194",CI,Sciurus aberti,Home range,Home range size,Home range size 95% fixed kernel,Not provided,NA,NA,Spring/Summer,Spring/Summer,VHF,NA,NA,Not provided,25,Wildfire,Summer,Low to moderate burn severity,Not provided,425,,8.4,11.07,5.73,5.07,6.89,3.25,SE,
53,10.1080/15627020.2008.11407405,Yarnell2008,African Zoology,2008,South Africa," - 25.21666667, 27.30000000",BA,Elephantulus brachyrhynchus,Home range,Home range,Home range size,Males and females,Winter,Winter,NA,NA,VHF,NA,NA,59.5,20,Planned,Winter,"Consumed the grass layer, did not consume shrub tickets, with some burning around the edges pg. 48",Not provided,7,"Table 1, pg. 48",0.24,0.3,0.18,0.18,0.25,0.11,SE,Animals tracked for 3 weeks before fire and 1 week post fire
54,10.1080/15627020.2008.11407405,Yarnell2008,African Zoology,2008,South Africa," - 25.21666667, 27.30000000",BA,Elephantulus brachyrhynchus,Linear Distance,Straight line distance (m),Straight line distance between successive fixes pg. 47,Males and females,Winter,Winter,NA,NA,VHF,NA,NA,Not provided,Not provided,Planned,Winter,"Consumed the grass layer, did not consume shrub tickets, with some burning around the edges pg. 49",Not provided,7,"Figure 1, pg. 49",12.08,14.41,9.75,16.24,18.1,14.38,SE,Animals tracked for 3 weeks before fire and 1 week post fire. Data extracted from Fig 1 using web plot digitiser
55,10.1139/cjz-2023-0100,Delay2020,Canadian Journal of Zoology,2024,Canada,"44.76202035817711, - 75.53947023298142",CI,Clemmys guttata,Home range,Home range size,Home range size 100% minimum convex polygon,Males and females,NA,NA,Spring/Summer/Autumn,Spring/Summer/Autumn,VHF,NA,NA,9.4,Not provided,Wildfire,Not provided,Not provided,1900,1460,"Home range section of Results, pg. 129",7.8,16.7,-1.1,9,15.5,2.5,SE,"Animals not tracked in winter at control site due to inaccessability. Mean fixes calculated by averaging the mean number of relocations per individual (Table A1), this does include individuals from a treatment third site (undistributed site) that data has not been extracted from. Exact date of fire not given, but occured sometime during windfarm construction (2017-2019), and maximum treatment age assumes fire was in 2017. Used windfarm as control, to control for distrubance of windfarms and windfarm and burnt area."
56,10.1139/cjz-2023-0100,Delay2020,Canadian Journal of Zoology,2024,Canada,"44.76202035817711, - 75.53947023298142",CI,Clemmys guttata,Linear Distance,Minimum Daily distance moved,"Annual Minimum daily distance moved, estimated by calculated straight line distances between fixes, divided by the number of days between fixes",Males and females,NA,NA,Spring/Summer/Autumn,Spring/Summer/Autumn,VHF,NA,NA,9.4,Not provided,Wildfire,Not provided,Not provided,1900,1460,"DMM Section of results, pg. 129",15,21.6,8.4,13.8,19.7,7.9,SE,"Animals not tracked in winter at control site due to inaccessability. Mean fixes calculated by averaging the mean number of relocations per individual (Table A1), this does include individuals from a treatment third site (undistributed site) that data has not been extracted from. Exact date of fire not given, but occured sometime during windfarm construction (2017-2019), and maximum treatment age assumes fire was in 2017."
57,10.1002/ajp.20644,Jaffe2009,American Journal of Primatology,2008,Kenya,"0.25000000, 36.83333333",CI,Cercopithecus aethiops,Linear Distance,Maximum daily distance,Maximum daily distance (m),Group of vervet monkeys,NA,NA,Autumn/Winter,Autumn/Winter,Visual,NA,NA,Not provided,Not provided,Wildfire,Autumn,"Fire largely undescribed by authors. Prefire grass height 20-93cm and post fire 0-5cm. Pre and post fire photos (Fig 1, pg 255) of the habitat indicate most of the grass layer was consumed, as well as consumption and sorching of shrublayer",Not provided,60,"Ranging Behaviour and Rate of Movement section of results, paragraph 2 pg. 255",188.5,226.4,150.6,54.3,59.9,48.7,SE,"Sample sizes are the number of days, not individual monkeys."
58,10.1002/ajp.20644,Jaffe2009,American Journal of Primatology,2008,Kenya,"0.25000000, 36.83333333",CI,Cercopithecus aethiops,Linear Distance,Distance travelled/30 mins,Distance travelled/30 mins,Group of vervet monkeys,NA,NA,Autumn/Winter,Autumn/Winter,Visual,NA,NA,Not provided,Not provided,Wildfire,Autumn,"Fire largely undescribed by authors. Prefire grass height 20-93cm and post fire 0-5cm. Pre and post fire photos (Fig 1, pg 255) of the habitat indicate most of the grass layer was consumed, as well as consumption and sorching of shrublayer",Not provided,60,"Ranging Behaviour and Rate of Movement section of results, last paragraph pg. 256",75.7,85.8,65.6,46.6,51.1,42.1,SE,Sample sizes are taken from sampling of focal individuals.
59,10.1002/ajp.20644,Jaffe2009,American Journal of Primatology,2008,Kenya,"0.25000000, 36.83333333",BA,Cercopithecus aethiops,Linear Distance,Maximum daily distance,Maximum daily distance (m),Group of vervet monkeys,,,NA,NA,Visual,NA,NA,Not provided,Not provided,Wildfire,Autumn,"Fire largely undescribed by authors. Prefire grass height 20-93cm and post fire 0-5cm. Pre and post fire photos (Fig 1, pg 255) of the habitat indicate most of the grass layer was consumed, as well as consumption and sorching of shrublayer",Not provided,60,"Ranging Behaviour and Rate of Movement section of results, paragraph 2 pg. 255",188.5,228.2,148.8,54.3,59.9,48.7,SE,"Sample sizes are the number of days, not individual monkeys. Mean values and SEMs are the same as reported for CI, but ranges are different - unsure these are true values, or a copy/paste mistake."
60,10.1002/jwmg.21920,Harris2020,Journal of Wildlife Management,2020,United States of America,"35.8, - 84.4",CI,Terrapene carolina carolina,Home range,Home range size,Home range size 95% kernel density,adults,NA,NA,All seasons,All seasons,VHF,NA,NA,Not provided,40,Both,"Spring, Summer & Autumn","17 planned burns, one wildfire. Varing intensity (indicated by pyrometer tile temperature 62C to >184C)",600,730,"Means and SEM Table 3, pg. 1390. Sample size from Spatial Ecology section of results, para 2, pg. 1390",8.9,13.1,4.7,7.1,9.3,4.9,SE,"Animals tracked throughout the year, however tracking frequenct reduced to ~1 location/month December - April. Treatment and control groups spread across three sites which "" varied in predominant vegetation types, topography, management, burn history, and burn regimes."" pg. 1385"
61,10.1002/jwmg.21920,Harris2020,Journal of Wildlife Management,2020,United States of America,"35.8, - 84.4",BA,Terrapene carolina carolina,Home range,Home range size,Home range size 95% kernel density,adults,All seasons,All seasons,NA,NA,VHF,NA,NA,Not provided,40,Both,"Spring, Summer & Autumn","18 planned burns, one wildfire. Varing intensity (indicated by pyrometer tile temperature 62C to >184C)",600,730,"Spatial Ecology section of results, para 2, pg. 1390",5.1,7.1,3.1,4.4,6.1,2.7,SE,"Animals tracked throughout the year, however tracking frequenct reduced to ~1 location/month December - April. Treatment and control groups spread across three sites which "" varied in predominant vegetation types, topography, management, burn history, and burn regimes."" pg. 1385"
62,10.1002/jwmg.21920,Harris2020,Journal of Wildlife Management,2020,United States of America,"35.8, - 84.4",CI,Terrapene carolina carolina,Tortuosity - Opposite Direction,Sinuosity,"Opposite direction of effect to straightness index and tortuosity. Mean sinuosity index, where 1 = straight, <1 = less straight",adults,NA,NA,All seasons,All seasons,VHF,NA,NA,Not provided,40,Both,"Spring, Summer & Autumn","19 planned burns, one wildfire. Varing intensity (indicated by pyrometer tile temperature 62C to >184C)",600,730,"Spatial Ecology section of results, para 2, pg. 1390",0.15,0.17,0.13,0.19,0.21,0.17,SE,"Animals tracked throughout the year, however tracking frequenct reduced to ~1 location/month December - April. Treatment and control groups spread across three sites which "" varied in predominant vegetation types, topography, management, burn history, and burn regimes."" pg. 1385"
63,10.1002/ece3.8416,Huysman2021,Ecology and Evolution,2021,United States of America,"38.433821977733245, - 122.35790576157503",BA,Tyto furcata,Linear Distance,Distance between centroid and fire scar,Distance between centroid and fire scar,Females,Winter,Winter,NA,NA,GPS,14,NA,851,114,Wildfire,Autumn,Not provided,60000,417,"Results section, para 4, pg. 18221 and 18222",1692,2036,1348,2864,3225,2503,SE,Before and after groups include owls with home ranges unimpacted and impacted by fire. Authors also analysed data of just owls with home ranges impacted by fire (too few repliactes for inclusion) and found little difference B: 1180 m (+-121 m) A: 1051m (+-211 m)
64,10.1002/ece3.8416,Huysman2021,Ecology and Evolution,2021,United States of America,"38.433821977733245, - 122.35790576157503",BA,Tyto furcata,Linear Distance,Distance between centroid and fire scar,Distance between centroid and fire scar,Females,Winter,Winter,NA,NA,GPS,14,NA,851,114,Wildfire,Autumn,Not provided,60000,417,"Results section, para 4, pg. 18221 and 18222",619,883,355,223,333,113,SE,Before and after groups include owls with home ranges unimpacted and impacted by fire. Authors also analysed data of just owls with home ranges impacted by fire (too few repliactes for inclusion) and found little difference B: 1180 m (+-121 m) A: 1051m (+-211 m)
65,10.1016/j.foreco.2013.08.032,Pitt2013,Forest Ecology and Management,2013,United States of America,"35.28583333, - 82.32833333",CI,Anaxyrus americanus,Linear Distance,Total distance moved,"Total distance moved, as the distance between locations",Males and females,NA,NA,Winter/Spring,Winter/Spring,VHF,34,69.3,Not provided,Not provided,Planned,Winter,Mean temperature from thermocouples was 170 C +-107.6 C,Not provided,122,"Table 1, pg. 294",457.75,617.23,298.27,1243,1569.74,916.26,SE,"Calculated mean total distance moved, SEM, and tracking period data from Table 1, pg. 294. Used Burn and Control treatments for C and I. Burn treatment site received two prescribed burns before treatment burn, one 9 years pre treatment and another 6 years pre treatment."
66,10.1071/WF18147,Lovich2018,International Journal of Wildland Fire,2018,United States of America,"33.94615384374419, - 116.6673612982519",BA,Gopherus agassizii,Home range,Activity Area size,"Annual Activity Area, minimum convex polygon",Adults,All seasons,All seasons,NA,NA,VHF,NA,NA,Not provided,4,Wildfire,Summer & Autumn,"2 fires, both Ignited accidentally by wind turbines, one in summer another in autumn. Summer fire larger (152 ha vs 6.5 ha)",158.5,243,"Table 1, pg. 853",3.827236,6.022582,1.63189,0.845655,1.232666,0.458644,SE,"Tracking effort varied seasonally, with increased effort in nesting season Spring/Summer"
67,10.1071/WF18147,Lovich2018,International Journal of Wildland Fire,2018,United States of America,"33.94615384374419, - 116.6673612982519",CI,Gopherus agassizii,Other space use - Proportion,Percentage of Activity area overlap between years,Percentage of Activity area overlap between years,Adults,NA,NA,All seasons,All seasons,VHF,NA,NA,Not provided,4,Wildfire,Summer & Autumn,"2 fires, both Ignited accidentally by wind turbines, one in summer another in autumn. Summer fire larger (152 ha vs 6.5 ha)",158.5,243,"Table 1, pg. 853",0.378,0.481,0.275,0.334,0.444,0.224,SE,"Tracking effort varied seasonally, with increased effort in nesting season Spring/Summer. Means and SEM calculated by reviewers. "
68,10.1644/10-MAMM-A-133.1,Pasch2011,Journal of Mammalogy,2011,United States of America,"35.28583333, - 109.28333333",CI,Sciurus nayaritensis chiricahuae,Home range,Core Area,Core area siz,Adults,NA,NA,All seasons,All seasons,VHF,NA,NA,Not provided,30,Planned,Not provided,Mutliple prescribed burns (33) occuring from 1980-2001.,260,8395,"Results section, paragraph 3, pg. 230",6.6,7.8,5.4,2.9,3.9,1.9,SE,
69,10.1644/10-MAMM-A-133.1,Pasch2011,Journal of Mammalogy,2011,United States of America,"35.28583333, - 109.28333333",CI,Sciurus nayaritensis chiricahuae,Linear Distance,Mean daily distance travelled,Mean daily distance travelled,Adults,NA,NA,All seasons,All seasons,VHF,NA,NA,Not provided,30,Planned,Not provided,Mutliple prescribed burns (33) occuring from 1980-2001.,260,8395,"Results section, paragraph 3, pg. 230",212.3,251.1,173.5,335.7,377.5,293.9,SE,
70,10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,"34.08333333, - 118.76666667",BA,Puma concolor,Other space use - Proportion,Mean proportion of locations within the burn perimeter before and after fire,Mean proportion of locations within the burn perimeter before and after fire,"Males and females, adults and subadults",All seasons,All seasons,NA,NA,GPS,NA,NA,Not provided,Not provided,Wildfire,Autumn,Not provided,39234,456,"Table S1, Supplementary Material",0.21,0.29,0.13,0.36,0.46,0.26,SE,"Combined male and female, as well sub adult and adult, as most individuals showed a decrease in proportion used after fire. Although, two females increased post fire."
71,10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,"34.08333333, - 118.76666667",BA,Puma concolor,Home range,Amount of space used,Predicted Amount of space used estimated using adaptive local convex hulls and a linear mixed effects model,Adult males,Summer/Autum,Autumn/Winter,NA,NA,GPS,NA,NA,Not provided,Not provided,Wildfire,Autumn,Not provided,39234,91,"Figure 3E, sample sizes Table s3",20390,25050,15730,18410,22400,14420,CI,"Some temporal confounding. Authors used resampling method  (100 resamples) to assess validity of model and increase sample size robustness, therfore have included for purposes of meta analysis. Means and 95% CI eztracted using web plot digitiser"
72,10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,"34.08333333, - 118.76666667",BA,Puma concolor,Home range,Amount of space used,Predicted Amount of space used estimated using adaptive local convex hulls and a linear mixed effects model,subadult males,Summer/Autum,Autumn/Winter,NA,NA,GPS,NA,NA,Not provided,Not provided,Wildfire,Autumn,Not provided,39234,122,"Figure 3E, sample sizes Table s3",14720,18390,11050,16950,22850,11050,CI,"Some temporal confounding. Authors used resampling method  (100 resamples) to assess validity of model and increase sample size robustness, therfore have included for purposes of meta analysis. Means and 95% CI eztracted using web plot digitiser"
73,10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,"34.08333333, - 118.76666667",BA,Puma concolor,Home range,Amount of space used,Predicted Amount of space used estimated using adaptive local convex hulls and a linear mixed effects model,Adult females,Summer/Autum,Autumn/Winter,NA,NA,GPS,NA,NA,Not provided,Not provided,Wildfire,Autumn,Not provided,39234,152,"Figure 3E, sample sizes Table s3",6230,10750,30,7830,11520,4440,CI,"Some temporal confounding. Confidence bars for some female means not centred on mean, CI range extracted instead. Authors used resampling method  (100 resamples) to assess validity of model and increase sample size robustness, therfore have included for purposes of meta analysis. Means and 95% CI extracted using web plot digitiser"
74,10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,"34.08333333, - 118.76666667",BA,Puma concolor,Home range,Amount of space used,Predicted Amount of space used estimated using adaptive local convex hulls and a linear mixed effects model,subadult females,Summer/Autum,Autumn/Winter,NA,NA,GPS,NA,NA,Not provided,Not provided,Wildfire,Autumn,Not provided,39234,183,"Figure 3E, sample sizes Table s3",7910,15490,3500,9570,14490,3110,CI,"Some temporal confounding. Confidence bars for some female means not centred on mean, CI range extracted instead.  Authors used resampling method  (100 resamples) to assess validity of model and increase sample size robustness, therfore have included for purposes of meta analysis. Means and 95% CI eztracted using web plot digitiser"
75,10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,"34.08333333, - 118.76666667",BA,Puma concolor,Linear Distance,"Mean monthly distance travelled, predicted using Mixed effects meta-regression",Mean monthly distance travelled,"Males and females, adults and subadults",Winter,Autumn,NA,NA,GPS,NA,NA,Not provided,Not provided,Wildfire,Autumn,Not provided,39234,304,,349400,397900,300900,254200,302700,254200,CI,Some temporal confounding. Means and 95% CI extracted using web plot digitiser
76,10.1139/cjz-2018-0222,Hutchen2019,Canadian Journal of Zoology,2019,Canada,"49.7220588404915, - 119.596870812616",CI,Lepus americanus,Tortuosity,Pathway tortuosity,"Direction of effect: lower values = greater tortuosity, higher values = less tortusity. Mean pathway tortuosity, with 1 = straighline, estimated using a fixed step random walk model",Not provided,NA,NA,Winter,Winter,Visual,NA,NA,Not provided,Not provided,Wildfire,Summer,"""Rank 6 crown fire"" pg. 447 Most damaging wildfire rating in BC",25635,4745,"Hare movements in the different stand types section of results, paragraph 1, pg. 449",0.59,0.76,0.42,0.54,0.82,0.26,SE,"Three treatment groups investigated, data from mature (control) and open (impact)."
78,NA,Lang2002,The Auk,2002,United States of America,"33.09875305455548, - 83.71309710674606",CI,Hylocichla mustelina,Linear Distance,mean distance (m) from capture site before dispersal,mean distance (m) from capture site before dispersal,juvenilles,NA,NA,Spring/Summer,Spring/Summer,VHF,NA,NA,Not provided,Not provided,Planned,Winter,"Planned burns occur every 3 to 5 years, in ~50 ha plots",Not provided,365,"Table 4, pg. 117",309,334,284,161,172,150,SE,"Fire treatment confounded with thinning treatment, thinning treatment aims to ""maintain a of  basal area of 11 to 18 m2 / ha."" pg. 111 . Used 1995 treatment group, as too few replicates to compare as BACI"
79,NA,Shaw1990,Wildlife Society Bulletin,1990,United States of America,"35.0, - 101.0",BA,Bison bison,Other space use - Proportion,Mean monthly percentage of observations within burn area,Mean monthly percentage of observations within burn area,Cows and calves,Summer,Summer,NA,NA,Visual,NA,NA,Not provided,Not provided,Planned,Winter,Not provided,1860,183,"Mean and SE calculated by reviwer from values in Table 1, pg. 428",0.4549,0.5485,0.3613,0.0913,0.1199,0.0627,SE,"Unsure RE inclusion in meta analysis due to sample size. SEM calculated by reviers from data in table 1, pg. 428. Sample size is the number of months used to calculate the mean monthly percentage"
80,10.1017/S1367943003003305,Brisson2003,Animal Conservation,2003,United States of America,"37.56673836227373, - 90.7376064250026",CI,Crotaphytus collaris,Linear distance,mean dispersal distance,"mean dispersal distance, including within glade and between glade dispersal movements","Males and females, hatchlings to adults",NA,NA,"Spring, Summer and Autumn","Spring, Summer and Autumn",Visual,NA,NA,Not provided,Not provided,Planned,not provided,not provided,not provided,365,"Table 2, pg. 251",380,752,8,210,357,63,SD,Sample sizes the total number of dispersals.
81,10.2193/0091-7648(2004)032[0928:EOWOBB]2.0.CO;2,Cunningham2004,Wildlife Society Bulletin,2004,United States of America,"33.780190863657104, - 111.3785168922106",CI,Ursus americanus,Home range,annual home range size,"Annual home range size, minimum convex polygon",Adult males,NA,NA,All seasons,All seasons,VHF,NA,NA,Not provided,18,Wildfire,Spring,"high vegetation mortality, catastrophic. limited vegetation >40 cm, no leaves on trees and shrubs, charred branches and trunks",23700,60989,"Figure 2, pg. 933 and Fig 3, pg. 934",5164,5776,4552,6590,7929,5251,SD,Data extracted from 1997 home range of Mt Ord (control) and Four Peaks (impact) using web plot digitiser
82,NA,Lee2012,Journal of Animal and Veterinary Advances,2012,South Korea,"37.21666667, 128.30000000",CI,Apodemus peninsulae,Home range,Home range size,"Home range size, 95% minimum convex polygon",Males and females,NA,NA,Autumn,Autumn,VHF,NA,NA,20,20,Unclear,Summer,All trees in burn area damaged or dead,Not provided,3407,"Table 4, pg. 3837",0.1658,0.168872,0.1359,0.9152,1.1723,0.6581,SE,"Fire treatment confounded with replanting post fire, as well as post fire silvicultural practices (removing trees and coarse woody debris, as well as understorey cover)."
83,NA,Lee2012,Journal of Animal and Veterinary Advances,2012,South Korea,"37.21666667, 128.30000000",CI,Apodemus peninsulae,Home range,Home range size,"Home range size, 95% minimum convex polygon",Males and females,NA,NA,Winter,Winter,VHF,NA,NA,20,20,Unclear,Summer,All trees in burn area damaged or dead,Not provided,3407,"Table 4, pg. 3837",0.012585,0.015657,0.009513,0.147825,0.1891586,0.1064914,SE,"Fire treatment confounded with replanting post fire, as well as post fire silvicultural practices (removing trees and coarse woody debris, as well as understorey cover)."
84,NA,Lee2012,Journal of Animal and Veterinary Advances,2012,South Korea,"37.21666667, 128.30000001",CI,Apodemus peninsulae,Home range,Home range size,"Home range size, 95% minimum convex polygon",Males and females,NA,NA,Spring,Spring,VHF,NA,NA,20,20,Unclear,Summer,All trees in burn area damaged or dead,Not provided,3407,"Table 4, pg. 3837",0.201409,0.243279,0.159539,0.725925,0.946553,0.505297,SE,"Fire treatment confounded with replanting post fire, as well as post fire silvicultural practices (removing trees and coarse woody debris, as well as understorey cover)."
85,NA,Lee2012,Journal of Animal and Veterinary Advances,2012,South Korea,"37.21666667, 128.30000002",CI,Apodemus peninsulae,Home range,Home range size,"Home range size, 95% minimum convex polygon",Males and females,NA,NA,Summer,Summer,VHF,NA,NA,20,20,Unclear,Summer,All trees in burn area damaged or dead,Not provided,3407,"Table 4, pg. 3837",0.092124,0.113844,0.070404,0.382525,0.501335,0.263715,SE,"Fire treatment confounded with replanting post fire, as well as post fire silvicultural practices (removing trees and coarse woody debris, as well as understorey cover)."
86,NA,Lee2012,Journal of Animal and Veterinary Advances,2012,South Korea,"37.21666667, 128.30000003",CI,Apodemus peninsulae,Linear distance - Speed,Movement distance (m/hour),Movement distance (m/hour),Males and females,NA,NA,Autumn,Autumn,VHF,NA,NA,20,20,Unclear,Summer,All trees in burn area damaged or dead,Not provided,3407,"Table 2, pg. 3836",48.28,2619.28,-2522.72,12.2,14.65,9.75,SE,"Fire treatment confounded with replanting post fire, as well as post fire silvicultural practices (removing trees and coarse woody debris, as well as understorey cover)."
87,NA,Lee2012,Journal of Animal and Veterinary Advances,2012,South Korea,"37.21666667, 128.30000004",CI,Apodemus peninsulae,Linear distance,Movement distance (m/hour),Movement distance (m/hour),Males and females,NA,NA,Winter,Winter,VHF,NA,NA,20,20,Unclear,Summer,All trees in burn area damaged or dead,Not provided,3407,"Table 4, pg. 3837",5.4,5.63,5.17,3.09,3.33,2.85,SE,"Fire treatment confounded with replanting post fire, as well as post fire silvicultural practices (removing trees and coarse woody debris, as well as understorey cover)."
88,NA,Lee2012,Journal of Animal and Veterinary Advances,2012,South Korea,"37.21666667, 128.30000005",CI,Apodemus peninsulae,Linear distance,Movement distance (m/hour),Movement distance (m/hour),Males and females,NA,NA,Spring,Spring,VHF,NA,NA,20,20,Unclear,Summer,All trees in burn area damaged or dead,Not provided,3407,"Table 4, pg. 3837",25.23,26.95,23.51,15.29,16.89,13.69,SE,"Fire treatment confounded with replanting post fire, as well as post fire silvicultural practices (removing trees and coarse woody debris, as well as understorey cover)."
89,NA,Lee2012,Journal of Animal and Veterinary Advances,2012,South Korea,"37.21666667, 128.30000006",CI,Apodemus peninsulae,Linear distance,Movement distance (m/hour),Movement distance (m/hour),Males and females,NA,NA,Summer,Summer,VHF,NA,NA,20,20,Unclear,Summer,All trees in burn area damaged or dead,Not provided,3407,"Table 4, pg. 3837",19.44,22.49,16.39,6.55,6.91,6.19,SE,"Fire treatment confounded with replanting post fire, as well as post fire silvicultural practices (removing trees and coarse woody debris, as well as understorey cover)."
90,10.1007/s13364-014-0184-y,Venter2014,Acta Theriologica,2014,South Africa," - 31.28333333, 30.0",CI,Equus burchelli,Other space use - Time,Mean time spent in habitat type,Mean time spent in habitat type,Males and females,NA,NA,All seasons,All seasons,VHF,122,NA,Not provided,Not provided,Planned,Not provided,"Mutiple burns ignited by poachers, timing not provided",Not provided,1673,"Figure 2, pg. 461",627,654,600,252.6,309,196.2,CI,Fires ignited by poachers
91,10.1007/s13364-014-0184-y,Venter2014,Acta Theriologica,2014,South Africa," - 31.28333333, 30.0",CI,Equus burchelli,Linear distance,Mean speed (m/hr),Mean speed (m/hr),Males and females,NA,NA,All seasons,All seasons,VHF,122,NA,Not provided,Not provided,Planned,Not provided,"Mutiple burns ignited by poachers, timing not provided",Not provided,1673,"Figure 2, pg. 461",1041.81,1076.65,1006.97,1114.98,1188.15,1041.81,CI,Fires ignited by poachers
92,10.1007/s13364-014-0184-y,Venter2014,Acta Theriologica,2014,South Africa," - 31.28333333, 30.0",CI,Alcelaphus buselaphus camaa,Other space use - Time,Mean time spent in habitat type,Mean time spent in habitat type,Males and females,NA,NA,All seasons,All seasons,VHF,122,NA,Not provided,Not provided,Planned,Not provided,"Mutiple burns ignited by poachers, timing not provided",Not provided,1673,"Figure 2, pg. 461",673.2,712.2,634.2,338.4,396.6,280.2,CI,Fires ignited by poachers
93,10.1007/s13364-014-0184-y,Venter2014,Acta Theriologica,2014,South Africa," - 31.28333333, 30.0",CI,Alcelaphus buselaphus camaa,Linear distance - Speed,Mean speed (m/hr),Mean speed (m/hr),Males and females,NA,NA,All seasons,All seasons,VHF,122,NA,Not provided,Not provided,Planned,Not provided,"Mutiple burns ignited by poachers, timing not provided",Not provided,1673,"Figure 2, pg. 461",453.66,504.53,402.79,474.56,545.64,403.48,CI,Fires ignited by poachers
94,10.1071/WF15204,Berry2016,International Journal of Wildland Fire,2016,Australia,"-37.59315997249596, 145.8585694146864",CI,Trichosurus cunninghami,Home range,Home range size,"Home range size, measured as 99% isopleth of VHF fixes",Adult males and females,NA,NA,Summer/Autumn,Summer/Autumn,VHF,14,14,Not provided,Not provided,Wildfire,Not provided,"Burned at varing severity, used animals in high severity landscape class for in this comparison. High severity  class had ~7% crown burned, ~50% crown sorched, 9% understorey burn with limited crown scorch and 8% unburned.",74000,1825,"Sample sizes from Appendix 1, Means and CI from Fig. 2, pg. 1295",29.58,44.77,14.39,11.07,26.23,-4.09,CI,Used high severity class for impact group and low severity as the control group (authors present low severity as unburnt in home range analysis)
95,NA,Michaud2017,Masters Thesis,2017,United States of America,"30.35000000, - 87.13333333",CI,Regulus calendula,Home range,"Home range size, 90% kernel density","Home range size, 90% kernel density",After second year males,NA,NA,Winter/Spring,Winter/Spring,Visual,NA,NA,Not provided,12,Planned,"Multiple planned burns over past 15 years, with some management units burnt mutiple times.",,663,5475,"Demographics section of Results, pg. 40 paragraph 1",3.22,3.54,2.9,5.43,6.5,4.36,SE,Web plot ditigiser used to extract mean and SEMs.
96,NA,Michaud2017,Masters Thesis,2017,United States of America,"30.35000000, - 87.13333333",CI,Regulus calendula,Home range,"Home range size, 90% kernel density","Home range size, 90% kernel density",After second year females,NA,NA,Winter/Spring,Winter/Spring,Visual,NA,NA,Not provided,12,Planned,,,663,5475,"Demographics section of Results, pg. 40 paragraph 1",3.75,4.64,2.86,3.15,3.08,3.11,SE,Web plot ditigiser used to extract mean and SEMs.
