your comment,comments,article id,study id,author,publication year,title,data location,study_name,Study_ID,Article_DOI,Firstauthor_Year,Journal_Title,Publication_Year,Study_Country,Lat_Long,Lat_Long_Method,Study_Design,Study_Characteristics,Study_Species,Movement_category,Response_measured,Response_description,Subgroup_description,B_data_collection_season,A_data_collection_season,C_data_collection_season,I_data_collection_season,Tracking_method,Minimum_tracking_period,Mean_tracking_period,Mean_fixes,Minimum_fixes,Impact_fire_type,Impact_fire_season,Impact_fire_characteristics,Impact_fire_size,Maximum_treatment_burn_age,Comparator_fire_history,Data_source,Sample_Size_Before,Mean_Before,SEM_Before,SD_Before,95__CI_Before,Sample_Size_After,Mean_After,SEM_After,SD_After,95__CI_After,Sample_Size_Control,Mean_Control,SEM_Control,SD_Control,95__CI_Control,Sample_Size_Impact,Mean_Impact,SEM_Impact,SD_Impact,95__CI_Impact,Sample_Size_Control_Before,Mean_Control_Before,SEM__Control_Before,SD__Control_Before,95__CI__Control_Before,Sample_Size_Control_After,Mean_Control_After,SEM_Control_After,SD_Control_After,95__CI_Control_After,Sample_Size_Impact_Before,Mean_Impact_Before,SEM_Impact_Before,SD_Impact_Before,95__CI_Impact_Before,Sample_Size_Impact_After,Mean_Impact_After,SEM_Impact_After,SD_Impact_After,95__CI_Impact_After,Comments
,,490,2,"Pasch, B; Koprowski, JL",2011,"Impacts of fire suppression on space use by Mexican fox squirrels
",N,,108,10.1644/10-MAMM-A-133.1,Pasch2011,Journal of Mammalogy,2011,United States of America,"35.28583333, - 109.28333333",Provided by author,CI,Compared of distance travelled of squirrels in fire suppressed and burned areas,Sciurus nayaritensis chiricahuae,Linear Distance,Mean daily distance travelled,Mean daily distance travelled,Adults,NA,NA,All seasons,All seasons,VHF,Not provided,Not provided,Not provided,30,Planned,Not provided,Mutliple prescribed burns (33) occuring from 1980-2001.,260 ha,23 years,Fire suppression for ~100 years prior to study,"Results section, paragraph 3, pg. 230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,335.7 m,41.8 m,NA,NA,12,212.3 m,38.8 m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,493,1,"Fordyce, A; Hradsky, BA; Ritchie, EG; Di Stefano, J",2016,"Fire affects microhabitat selection, movement patterns, and body condition of an Australian rodent (<i>Rattus fuscipes</i>)
",row created by CADIMA,row created by CADIMA,109,10.1093/jmammal/gyv159,Fordyce2016,Journal of Mammalogy,2016,Australia," -38.40000000, 144.01666667",Provided by authors,BACI,Compared step length of bush rats before and after fire at control and impact sites,Rattus fuscipes,Linear Distance,Step length,Mean step length (distance between turning points >5 degrees),Males and females,Summer/Autum,Autmn/Winter,see before/after,see before/after,Visual,Not provided,Not provided,Not provided,Not provided,Planned,Autumn,"Varied fire severity within burn plot: high 21%, moderate 20% and low 14%, unburnt 45%.",Not provided,2 months,Not provided,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,"NEED TO CONTACT AUTHORS - Mean values not reported. Animals tracked using spool and line, spool length of 120 m. Have only included animals released at site of capture. Data extracted from Fig 4, pg. 107 using web plot digitiser"
,,493,2,"Fordyce, A; Hradsky, BA; Ritchie, EG; Di Stefano, J",2016,"Fire affects microhabitat selection, movement patterns, and body condition of an Australian rodent (<i>Rattus fuscipes</i>)
",N,,110,10.1093/jmammal/gyv159,Fordyce2016,Journal of Mammalogy,2016,Australia," -38.40000000, 144.01666667",Provided by authors,BACI,Compared turning angles of bush rats before and after fire at control and impact sites,Rattus fuscipes,Tortuosity,Mean turning angle,Mean turning angle,Males and females,Summer/Autum,Autmn/Winter,see before/after,see before/after,Visual,Not provided,Not provided,Not provided,Not provided,Planned,Autumn,"Burn was patchy, with gullies and drainage line tyically unburned. Varied fire severity within burn plot: high 21%, moderate 20% and low 14%, unburnt 45%.",Not provided,2 months,Not provided,"Mean and 95% CI, Figure 4, pg. 107",,60.2 degrees (control) 45.9 degrees (impact),NA,NA,8.1 degress (control) 7.8 degrees (impact),,51.5 degrees (control) 67.5 degrees (impact),NA,NA,6.8 degrees (control) 7.3 degrees (impact),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsure - see comments,60.2 degrees,NA,NA,8.1,,51.5 degrees,NA,NA,6.8 degrees,unsure - see comments,45.9 degrees,NA,NA,7.8,unsure-see comments,67.5 degrees,NA,NA,7.3 degrees,"NEED TO CONTACT AUTHORS - Sample sizes for animals not relocated not provided. Animals tracked using spool and line, spool length of 120 m. Have only included animals released at site of capture. Data extracted from Fig 4, pg. 107 using web plot digitiser"
,,663,1,"Howey, CAF; Dickinson, MB; Roosenburg, WM",2016,"Effects of a Landscape Disturbance on the Habitat Use and Behavior of the Black Racer
",row created by CADIMA,row created by CADIMA,111,10.1643/CE-15-373,Howey2016,Copeia,2016,United States of America,"36.85805260811002, -88.07176817621945","Estimated by reviewers, coordinates taken from existing google pin of Land Between the Lakes National Recreational area",CI,Compared movement rates (m/day) of snakes in burned an unburned habitat,Coluber constrictor,Linear Distance,Mean movement rate (m/day),Mean movement rate (m/day),Males,NA,NA,Spring/Summer,Spring/Summer,VHF,Not provided,Not provided,Not provided,Not provided,Planned,Spring & Autumn,Not provided,1000 ha,2 years,Not burned for >25 years,"Fig 8, pg. 858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,61.0 m/day,8.9,NA,NA,8,59.6 m/day,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Does not meet meta analysis criteria - too few replicates. Data extracted from Fig 8 using web plot digitiser
,,663,2,"Howey, CAF; Dickinson, MB; Roosenburg, WM",2016,"Effects of a Landscape Disturbance on the Habitat Use and Behavior of the Black Racer
",N,,112,10.1643/CE-15-373,Howey2016,Copeia,2016,United States of America,"36.85805260811002, -88.07176817621945","Estimated by reviewers, coordinates taken from existing google pin of Land Between the Lakes National Recreational area",CI,Compared movement rates (m/day) of snakes in burned an unburned habitat,Coluber constrictor,Linear Distance,Mean movement rate (m/day),Mean movement rate (m/day),Females,NA,NA,Spring/Summer,Spring/Summer,VHF,Not provided,Not provided,Not provided,Not provided,Planned,Spring & Autumn,Not provided,1000 ha,3 years,Not burned for >25 years,"Fig 8, pg. 858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,35.2 m/day,18.8,NA,NA,3,72.7 m/day,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Does not meet meta analysis criteria - too few replicates. Data extracted from Fig 8 using web plot digitiser
,,924,1,"Blakey, RV; Sikich, JA; Blumstein, DT; Riley, SPD",2022,"Mountain lions avoid burned areas and increase risky behavior after wildfire in a fragmented urban landscape
",row created by CADIMA,row created by CADIMA,113,10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,"34.08333333, -118.76666667",Provided by authors,BA,Compared proportion of burn perimeter used by mountain lions before and after fire.,Puma concolor,Other space use,Mean proportion of locations within the burn perimeter before and after fire,Mean proportion of locations within the burn perimeter before and after fire,"Males and females, adults and subadults",All seasons,All seasons,NA,NA,GPS,Not provided,Not provided,Not provided,Not provided,Wildfire,Autumn,Not provided,39234 ha,15 months,History of large wildfires in the region,"Table S1, Supplementary Material",9,0.36,10,NA,NA,9,0.21,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Combined male and female, as well sub adult and adult, as most individuals showed a decrease in proportion used after fire. Although, two females increased post fire."
,,924,2,"Blakey, RV; Sikich, JA; Blumstein, DT; Riley, SPD",2022,"Mountain lions avoid burned areas and increase risky behavior after wildfire in a fragmented urban landscape
",n,,114,10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,"34.08333333, - 118.76666667",Provided by authors,BA,"Compared home range size of  mountain lions in the three months before and three months after fire, estimated using a linear mixed effects model",Puma concolor,Home range,Amount of space used,Predicted Amount of space used estimated using adaptive local convex hulls and a linear mixed effects model,Adult males,Summer/Autum,Autumn/Winter,NA,NA,GPS,Not provided,Not provided,Not provided,Not provided,Wildfire,Autumn,Not provided,39234 ha,3 months,History of large wildfires in the region,"Figure 3E, sample sizes Table s3",2,203.9 km2,NA,NA,46.6,3,184.1 km2,NA,NA,39.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Some temporal confounding. Authors used resampling method  (100 resamples) to assess validity of model and increase sample size robustness, therfore have included for purposes of meta analysis. Means and 95% CI eztracted using web plot digitiser"
,,924,3,"Blakey, RV; Sikich, JA; Blumstein, DT; Riley, SPD",2022,"Mountain lions avoid burned areas and increase risky behavior after wildfire in a fragmented urban landscape
",n,,115,10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,"34.08333333, - 118.76666667",Provided by authors,BA,"Compared home range size of  mountain lions in the three months before and three months after fire, estimated using a linear mixed effects model",Puma concolor,Home range,Amount of space used,Predicted Amount of space used estimated using adaptive local convex hulls and a linear mixed effects model,subadult males,Summer/Autum,Autumn/Winter,NA,NA,GPS,Not provided,Not provided,Not provided,Not provided,Wildfire,Autumn,Not provided,39234 ha,4 months,History of large wildfires in the region,"Figure 3E, sample sizes Table s3",4,147.2 km2,NA,NA,36.7,3,169.5 km2,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Some temporal confounding. Authors used resampling method  (100 resamples) to assess validity of model and increase sample size robustness, therfore have included for purposes of meta analysis. Means and 95% CI eztracted using web plot digitiser"
,,924,4,"Blakey, RV; Sikich, JA; Blumstein, DT; Riley, SPD",2022,"Mountain lions avoid burned areas and increase risky behavior after wildfire in a fragmented urban landscape
",n,,116,10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,"34.08333333, - 118.76666667",Provided by authors,BA,"Compared home range size of  mountain lions in the three months before and three months after fire, estimated using a linear mixed effects model",Puma concolor,Home range,Amount of space used,Predicted Amount of space used estimated using adaptive local convex hulls and a linear mixed effects model,Adult females,Summer/Autum,Autumn/Winter,NA,NA,GPS,Not provided,Not provided,Not provided,Not provided,Wildfire,Autumn,Not provided,39234 ha,5 months,History of large wildfires in the region,"Figure 3E, sample sizes Table s3",2,62.3 km2,NA,NA,0.3 - 107.5,5,78.3 km2,NA,NA,44.4 - 115.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Some temporal confounding. Confidence bars for some female means not centred on mean, CI range extracted instead. Authors used resampling method  (100 resamples) to assess validity of model and increase sample size robustness, therfore have included for purposes of meta analysis. Means and 95% CI eztracted using web plot digitiser"
,,924,5,"Blakey, RV; Sikich, JA; Blumstein, DT; Riley, SPD",2022,"Mountain lions avoid burned areas and increase risky behavior after wildfire in a fragmented urban landscape
",n,,117,10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,"34.08333333, - 118.76666667",Provided by authors,BA,"Compared home range size of  mountain lions in the three months before and three months after fire, estimated using a linear mixed effects model",Puma concolor,Home range,Amount of space used,Predicted Amount of space used estimated using adaptive local convex hulls and a linear mixed effects model,subadult females,Summer/Autum,Autumn/Winter,NA,NA,GPS,Not provided,Not provided,Not provided,Not provided,Wildfire,Autumn,Not provided,39234 ha,6 months,History of large wildfires in the region,"Figure 3E, sample sizes Table s3",2,79.1 km2,NA,NA,35 - 154.9,3,95.7 km2,NA,NA,31.1 - 144.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Some temporal confounding. Confidence bars for some female means not centred on mean, CI range extracted instead.  Authors used resampling method  (100 resamples) to assess validity of model and increase sample size robustness, therfore have included for purposes of meta analysis. Means and 95% CI eztracted using web plot digitiser"
,,924,6,"Blakey, RV; Sikich, JA; Blumstein, DT; Riley, SPD",2022,"Mountain lions avoid burned areas and increase risky behavior after wildfire in a fragmented urban landscape
",n,,118,10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,"34.08333333, - 118.76666667",Provided by authors,BA,Compared the mean monthly distance travelled at 10 months before and 10 months after a fire by mountain lions.,Puma concolor,Linear Distance,"Mean monthly distance travelled, predicted using Mixed effects meta-regression",Mean monthly distance travelled,"Males and females, adults and subadults",Winter,Autumn,NA,NA,GPS,Not provided,Not provided,Not provided,Not provided,Wildfire,Autumn,Not provided,39234 ha,10 months,History of large wildfires in the region,,9,254.2 km,NA,NA,48.5,17,349.4 km,NA,NA,48.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some temporal confounding. Means and 95% CI extracted using web plot digitiser
,,938,1,"Hutchen, J; Hodges, KE",2019,"Foraging behaviour of snowshoe hares (<i>Lepus americanus</i>) in conifer forests regenerating after fire
",row created by CADIMA,row created by CADIMA,119,10.1139/cjz-2018-0222,Hutchen2019,Canadian Journal of Zoology,2019,Canada,"49.7220588404915, -119.596870812616","Estimated by reviewers, coordinates taken from existing google pin of Okanagan Mountain Provincial Park",CI,Compared tortuosity of hare movements in burned and unburned forest,Lepus americanus,Tortuosity,Pathway tortuosity,"Mean pathway tortuosity, with 1 = straighline, estimated using a fixed step random walk model",Not provided,NA,NA,Winter,Winter,Visual,Not provided,Not provided,Not provided,Not provided,Wildfire,Summer,"""Rank 6 crown fire"" pg. 447 Most damaging wildfire rating in BC",25635 ha,13 years,Not provided,"Hare movements in the different stand types section of results, paragraph 1, pg. 449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0.54,0.28,NA,NA,11,0.59,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Three treatment groups investigated, data from mature (control) and open (impact)."
,,938,2,"Hutchen, J; Hodges, KE",2019,"Foraging behaviour of snowshoe hares (<i>Lepus americanus</i>) in conifer forests regenerating after fire
",n,,120,10.1139/cjz-2018-0222,Hutchen2019,Canadian Journal of Zoology,2019,Canada,"49.7220588404915, -119.596870812616","Estimated by reviewers, coordinates taken from existing google pin of Okanagan Mountain Provincial Park",CI,Compared speed of hare movements in burned and unburned forest,Lepus americanus,Linear Distance,Travelling speed,"Travelling speed, estimated as steps per 5 m segment of path",Not provided,NA,NA,Winter,Winter,Visual,Not provided,Not provided,Not provided,Not provided,Wildfire,Summer,"""Rank 6 crown fire"" pg. 447 Most damaging wildfire rating in BC",25635 ha,13 years,Not provided,"Hare movements in the different stand types section of results, paragraph 1, pg. 449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,8.7 steps/ 5 meters,1.01,NA,NA,11,7 steps/ 5 metres,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Three treatment groups investigated, data from mature (control) and open (impact)."
,,969,1,"Rickbeil, GJM; Hermosilla, T; Coops, NC; White, JC; Wulder, MA",2017,"Barren-ground caribou <i>(Rangifer tarandus groenlandicus</i>) behaviour after recent fire events; integrating caribou telemetry data with Landsat fire detection techniques
",row created by CADIMA,row created by CADIMA,121,10.1111/gcb.13456,Rickbeil2017,Global Change Biology,2017,Canada,"65, -110","Estimated by reviewers, using coordinates provided in Figure 1, pg. 1038",CI,,Rangifer tarandus groenlandicus,Linear Distance & Tortousity,,,,,,,,GPS,,,,,Wildfire,,,,26 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEED TO CONTACT AUTHORS - Mean values not reported. Authors found effect of fire on turning angles and movement velocity ""Time since fire and burn severity both signifi-
cantly affected velocity and relative turning angles. During fall, winter, and spring, fire virtually eliminated foraging-
focused behaviour for all 26 years of analysis while more severe fires resulted in a marked increase in movement-
focused behaviour compared to unburnt patches."" From abstract"
,,1015,1,"Ballard, WB; Krausman, PR; Boe, S; Cunningham, S; Whitlaw, HA",2000,"Short-term response of Gray Wolves, <i>Canis lupis</i>, to wildfire in Northwestern Alaska
",row created by CADIMA,row created by CADIMA,122,,Ballard2000,Canadian Field-Naturalist,2000,United States of America,"67.1640084670408, -159.41035347743727",,BA,,Canis lupis,Other space use,Proportion of relocations within burn perimeter before and after fire,Proportion of relocations within burn perimeter before and after fire,Not provided,Summer,Summer,NA,NA,Platform Transmitter Terminals (Satellite),Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Wildfire,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,Not recorded - does not meet meta analysis criteria,"Does not meet criteria for meta analysis due to too few replicates (3 wolves tracked). NEED TO CONTACT AUTHORS - Mean values not presented. If authors provide data, would use before and after data of Rabbit Mountain pack data."
