Article_DOI,Firstauthor_Year,Journal_Title,Publication_Year,Study_Country,Study_Design,Species_tree,Species,Movement_category,Response_measured,Response_description,Subgroup_description,B_data_collection_season,A_data_collection_season,C_data_collection_season,I_data_collection_season,Tracking_method,Impact_fire_type,Impact_fire_size_ha,Maximum_treatment_burn_age_days,Data_source,Mean_Fire,Upper_Fire,Lower_Fire,Mean_Unburned,Upper_Unburned,Lower_Unburned,CI_Type,Burned_n,Unburned_n,ReptTraits.Max_body_mass_g,AvoNet.Mean_mass_g,BodyMass.g,Phy.body_mass_g,BodyMassComments,biome_no,biome_name,class_ncbi
10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,CI,Odocoileus_virginianus,Odocoileus virginianus,Linear distance,Movement rate,Movement rate meters/hour,Females,NA,NA,Spring/Summer,Spring/Summer,GPS,Wildfire,14200,30,"Sample size Table 1 pg. 165, movement rates Figure 4",79.85,86.82,72.88,49.86,53.11,46.61,SE,9,40,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,Mammalia
10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,CI,Odocoileus_virginianus,Odocoileus virginianus,Linear distance,Movement rate,Movement rate meters/hour,Females,NA,NA,Summer,Summer,GPS,Wildfire,14200,30,"Sample size Table 1 pg. 165, movement rates Figure 4",74.21,81.47,66.95,50.33,54.15,46.51,SE,8,39,NA,NA,55508.6,55508.6,,9,Flooded grasslands and savannas,Mammalia
10.4996/fireecology.1203080,Clapp2016,Fire Ecology,2016,United States of America,BA,Ovis_canadensis,Ovis canadensis,Other space use,Proportion of relocations,Proportion of locations within the burn perimeter,Males and females,Not detailed - assuming all seasons,Not detailed - assuming all seasons,NA,NA,GPS,Planned,1260,821,"Table 3, pg. 90",0.14,0.16,0.12,0.03,0.04,0.02,SE,11,11,NA,NA,74644.9,74644.9,,6,Boreal forests/taiga,Mammalia
10.4996/fireecology.1203080,Clapp2016,Fire Ecology,2016,United States of America,BA,Ovis_canadensis,Ovis canadensis,Other space use,Proportion of relocations,Proportion of locations within the burn perimeter,Males and females,Not detailed - assuming all seasons,Not detailed - assuming all seasons,NA,NA,GPS,Planned,1260,821,"Table 3, pg. 91",0.14,0.16,0.12,0.06,0.07,0.05,SE,10,10,NA,NA,74644.9,74644.9,,6,Boreal forests/taiga,Mammalia
10.4996/fireecology.1203080,Clapp2016,Fire Ecology,2016,United States of America,BA,Ovis_canadensis,Ovis canadensis,Other space use,Proportion of relocations,Proportion of locations within the burn perimeter,Males and females,Not detailed - assuming all seasons,Not detailed - assuming all seasons,NA,NA,GPS,Wildfire,1260,821,"Table 3, pg. 92",0.23,0.32,0.14,0.24,0.32,0.16,SE,9,9,NA,NA,74644.9,74644.9,,6,Boreal forests/taiga,Mammalia
10.1071/WR12110,Hope2012,Wildlife Research,2012,Australia,BA,Perameles_nasuta,Perameles nasuta,Home range,Home range size,"Mean home range size, 95% fixed kernel density",Adult males and females,Autumn,Winter,NA,NA,VHF,Planned,24.6,91,Table 3,7.2,9,5.4,6.4,8.3,4.5,SE,5,5,NA,NA,975,975,,4,Temperate broadleaf and mixed forests,Mammalia
10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,BA,Puma_concolor,Puma concolor,Other space use,Mean proportion of locations within the burn perimeter before and after fire,Mean proportion of locations within the burn perimeter before and after fire,"Males and females, adults and subadults",All seasons,All seasons,NA,NA,GPS,Wildfire,39234,456,"Table S1, Supplementary Material",0.21,0.29,0.13,0.36,0.46,0.26,SE,9,9,NA,NA,51600,51600,,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,BA,Puma_concolor,Puma concolor,Home range,Amount of space used,Predicted Amount of space used estimated using adaptive local convex hulls and a linear mixed effects model,Adult males,Summer/Autum,Autumn/Winter,NA,NA,GPS,Wildfire,39234,91,"Figure 3E, sample sizes Table s3",18410,22400,14420,20390,25050,15730,CI,3,2,NA,NA,51600,51600,,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,BA,Puma_concolor,Puma concolor,Home range,Amount of space used,Predicted Amount of space used estimated using adaptive local convex hulls and a linear mixed effects model,subadult males,Summer/Autum,Autumn/Winter,NA,NA,GPS,Wildfire,39234,122,"Figure 3E, sample sizes Table s3",16950,22850,11050,14720,18390,11050,CI,3,4,NA,NA,51600,51600,,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,BA,Puma_concolor,Puma concolor,Home range,Amount of space used,Predicted Amount of space used estimated using adaptive local convex hulls and a linear mixed effects model,subadult females,Summer/Autum,Autumn/Winter,NA,NA,GPS,Wildfire,39234,183,"Figure 3E, sample sizes Table s3",9570,14490,3110,7910,15490,3500,CI,3,2,NA,NA,51600,51600,,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,BA,Puma_concolor,Puma concolor,Home range,Amount of space used,Predicted Amount of space used estimated using adaptive local convex hulls and a linear mixed effects model,Adult females,Summer/Autum,Autumn/Winter,NA,NA,GPS,Wildfire,39234,152,"Figure 3E, sample sizes Table s3",7830,11520,4440,6230,10750,30,CI,5,2,NA,NA,51600,51600,,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
